topology,n,seed,degree_auc,degree_stop,degree_fc,random_auc,random_stop,random_fc,pagerank_auc,pagerank_stop,pagerank_fc,CoreHD_auc,CoreHD_stop,CoreHD_fc,CoreHD@0.01n_auc,CoreHD@0.01n_stop,CoreHD@0.01n_fc,CoreHD@0.1n_auc,CoreHD@0.1n_stop,CoreHD@0.1n_fc
ba,500,500000,0.197,140,0.412,0.4523,396,0.958,0.1837,126,0.356,0.1723,107,0.434,0.1693,107,0.3,0.1726,107,0.412
ba,500,500001,0.2058,144,0.396,0.4507,398,0.914,0.1917,134,0.39,0.1841,118,0.418,0.1794,115,0.294,0.1799,111,0.4
ba,500,500002,0.1968,143,0.39,0.4511,398,0.958,0.1898,132,0.384,0.179,127,0.48,0.1741,117,0.298,0.1747,107,0.396
ba,1000,1000000,0.1997,272,0.385,0.445,780,0.921,0.1921,264,0.332,0.1804,229,0.441,0.1773,226,0.266,0.1783,221,0.373
ba,1000,1000001,0.1973,277,0.381,0.4508,787,0.882,0.1869,260,0.365,0.1733,217,0.383,0.1705,214,0.252,0.1744,210,0.352
ba,1000,1000002,0.1959,283,0.383,0.4495,788,0.897,0.1862,253,0.373,0.18,256,0.373,0.1744,231,0.258,0.1742,220,0.368
ba,1500,1500000,0.1893,393,0.3667,0.4513,1173,0.936,0.1815,385,0.3313,0.1695,312,0.3533,0.1662,311,0.232,0.1675,309,0.3353
ba,1500,1500001,0.1918,394,0.3493,0.449,1155,0.9047,0.1869,382,0.326,0.177,338,0.3807,0.1744,333,0.246,0.1759,327,0.3547
ba,1500,1500002,0.1885,384,0.356,0.4461,1155,0.9167,0.1812,370,0.3067,0.17,313,0.3327,0.1675,310,0.2353,0.1702,308,0.312
er,497,1500000,0.3629,257,0.7485,0.4615,406,0.8994,0.3437,243,0.7082,0.3032,197,0.5694,0.3014,195,0.4688,0.3074,189,0.7565
er,497,1500001,0.3552,267,0.8089,0.4628,402,0.9235,0.3408,237,0.7425,0.3037,201,0.5915,0.3029,201,0.4789,0.3095,198,0.8109
er,496,1500002,0.3536,244,0.8286,0.4632,398,0.9375,0.342,250,0.7641,0.2986,200,0.5726,0.2975,197,0.4617,0.3016,188,0.8327
er,998,2000000,0.358,546,0.6693,0.4557,762,0.9068,0.34,492,0.6052,0.297,388,0.5631,0.2941,382,0.4198,0.2972,375,0.6483
er,998,2000001,0.3509,502,0.6222,0.4559,783,0.8798,0.3326,462,0.5892,0.2951,378,0.5441,0.2934,374,0.4128,0.296,369,0.6383
er,1000,2000002,0.3473,501,0.679,0.4528,765,0.883,0.3297,474,0.59,0.2961,386,0.586,0.2901,373,0.4,0.2927,362,0.689
er,1495,2500000,0.356,800,0.6769,0.4573,1195,0.8602,0.3351,734,0.6201,0.2913,559,0.5538,0.2897,554,0.392,0.2948,548,0.6234
er,1489,2500001,0.3432,767,0.6629,0.4517,1150,0.8395,0.3297,722,0.5581,0.2844,534,0.5084,0.2821,532,0.3808,0.2866,530,0.5453
er,1495,2500002,0.3478,765,0.6241,0.4564,1160,0.8635,0.3335,717,0.5813,0.2957,585,0.487,0.2923,568,0.4,0.295,559,0.59
ws,500,2500000,0.396,319,0.884,0.4349,334,0.808,0.3421,259,0.718,0.3252,206,0.712,0.3235,206,0.532,0.3253,206,0.752
ws,500,2500001,0.3865,313,0.892,0.4332,332,0.824,0.3551,258,0.75,0.3335,248,0.708,0.3314,248,0.534,0.334,248,0.748
ws,500,2500002,0.3997,320,0.848,0.45,372,0.878,0.3519,255,0.752,0.3326,226,0.672,0.3313,226,0.522,0.3381,226,0.718
ws,1000,3000000,0.377,619,0.71,0.4416,707,0.853,0.3551,516,0.705,0.3245,425,0.583,0.3249,425,0.505,0.3266,425,0.705
ws,1000,3000001,0.4026,625,0.824,0.4423,703,0.811,0.3672,536,0.72,0.3294,427,0.64,0.3284,427,0.499,0.3331,427,0.717
ws,1000,3000002,0.3934,615,0.82,0.4348,695,0.792,0.3559,547,0.696,0.3236,412,0.686,0.3221,412,0.501,0.3244,412,0.706
ws,1500,3500000,0.3992,975,0.698,0.423,992,0.85,0.3506,773,0.6033,0.3275,652,0.6347,0.327,652,0.496,0.329,652,0.7213
ws,1500,3500001,0.3957,970,0.694,0.4348,1036,0.7933,0.3452,732,0.636,0.3229,642,0.712,0.3223,642,0.4987,0.3238,642,0.744
ws,1500,3500002,0.3959,948,0.684,0.4341,1002,0.8027,0.3555,765,0.6333,0.3318,676,0.574,0.3322,676,0.4893,0.3334,676,0.6047
