topology,n,n_actual,seed,CoreHD-0.01n_auc,CoreHD-0.01n_stop,CoreHD-0.01n_fc,gnn-dyn-b25-s101_auc,gnn-dyn-b25-s101_stop,gnn-dyn-b25-s101_fc,gnn-dyn-b25-s102_auc,gnn-dyn-b25-s102_stop,gnn-dyn-b25-s102_fc,gnn-dyn-b25-s103_auc,gnn-dyn-b25-s103_stop,gnn-dyn-b25-s103_fc,gnn-dyn-b25-s104_auc,gnn-dyn-b25-s104_stop,gnn-dyn-b25-s104_fc,gnn-dyn-b25-s105_auc,gnn-dyn-b25-s105_stop,gnn-dyn-b25-s105_fc,gnn-dyn-b25-dfs_auc,gnn-dyn-b25-dfs_stop,gnn-dyn-b25-dfs_fc
er,500,497,1500000,0.3014,195,0.4688,0.3043,214,0.5211,0.3107,234,0.5211,0.3057,218,0.5191,0.3074,217,0.5171,0.3077,227,0.5191,0.3138,229,0.5553
er,500,497,1500001,0.3029,201,0.4789,0.3088,227,0.5433,0.3112,230,0.5312,0.3069,227,0.5473,0.305,226,0.5433,0.3072,228,0.5473,0.3056,225,0.5252
er,500,496,1500002,0.2975,197,0.4617,0.3003,209,0.5222,0.3042,215,0.5141,0.3046,214,0.5121,0.3018,207,0.5141,0.3057,218,0.5202,0.3055,212,0.5544
er,500,499,1500003,0.2877,188,0.4609,0.2891,206,0.515,0.2917,216,0.513,0.2941,208,0.507,0.2902,211,0.505,0.2918,211,0.511,0.2908,200,0.521
er,500,499,1500004,0.2947,190,0.4709,0.3002,213,0.515,0.3021,222,0.5251,0.3018,213,0.521,0.3037,219,0.5351,0.3062,233,0.5291,0.304,216,0.5331
er,500,500,1500005,0.3013,202,0.454,0.2949,202,0.498,0.3027,208,0.51,0.2983,211,0.494,0.2978,209,0.494,0.2991,209,0.492,0.2985,212,0.502
er,500,496,1500006,0.2914,193,0.4496,0.2898,203,0.502,0.296,221,0.498,0.2911,207,0.4899,0.2932,209,0.496,0.2942,211,0.494,0.2961,212,0.5
er,500,500,1500007,0.2995,200,0.452,0.3005,209,0.522,0.3073,222,0.524,0.3073,221,0.532,0.3029,214,0.524,0.304,212,0.524,0.3083,226,0.548
er,500,500,1500008,0.2968,197,0.448,0.2979,213,0.522,0.303,222,0.522,0.3037,223,0.522,0.3027,217,0.518,0.3019,223,0.516,0.301,208,0.552
er,500,499,1500009,0.303,194,0.4729,0.3022,212,0.521,0.3048,227,0.523,0.3023,211,0.513,0.3029,219,0.521,0.3016,208,0.505,0.3067,222,0.5411
er,500,497,1500010,0.2893,187,0.4527,0.2893,201,0.5211,0.2973,211,0.5111,0.2909,200,0.5151,0.2899,195,0.5131,0.2897,198,0.5171,0.2907,200,0.5573
er,500,498,1500011,0.2842,183,0.4498,0.2889,206,0.506,0.2927,216,0.512,0.2903,209,0.508,0.29,212,0.5,0.2917,213,0.504,0.2955,209,0.5
er,500,498,1500012,0.2896,184,0.4679,0.2996,214,0.5221,0.2989,222,0.5161,0.2984,212,0.508,0.2982,211,0.5161,0.2979,209,0.5181,0.303,219,0.5522
er,500,500,1500013,0.2844,191,0.43,0.2883,201,0.538,0.2947,212,0.518,0.2922,201,0.518,0.2891,201,0.528,0.2905,204,0.526,0.2933,207,0.534
er,500,498,1500014,0.2825,180,0.4558,0.2864,205,0.51,0.289,208,0.506,0.2863,200,0.508,0.2839,196,0.506,0.2833,193,0.512,0.2895,201,0.496
er,500,500,1500015,0.2856,189,0.442,0.2918,207,0.534,0.2947,220,0.52,0.2917,205,0.536,0.2934,213,0.504,0.2926,208,0.52,0.2998,220,0.526
er,500,500,1500016,0.2875,183,0.452,0.2869,201,0.51,0.2912,209,0.516,0.2893,207,0.52,0.2896,211,0.506,0.288,205,0.5,0.2917,210,0.518
er,500,497,1500017,0.2956,195,0.4708,0.2998,207,0.5231,0.3091,230,0.5634,0.3014,220,0.5252,0.3063,221,0.5292,0.3074,228,0.5332,0.2987,206,0.5553
er,500,499,1500018,0.2997,194,0.4729,0.3002,211,0.517,0.3023,215,0.5251,0.3052,217,0.517,0.303,216,0.5251,0.3007,212,0.523,0.3011,204,0.5411
er,500,500,1500019,0.2918,198,0.442,0.2931,207,0.498,0.2945,209,0.504,0.2969,210,0.476,0.2961,208,0.496,0.2935,205,0.492,0.2944,201,0.494
er,500,500,1500020,0.288,189,0.436,0.2911,204,0.536,0.2964,204,0.518,0.2943,202,0.536,0.2926,200,0.536,0.2953,207,0.538,0.297,202,0.544
er,500,498,1500021,0.3016,202,0.488,0.3042,216,0.5201,0.3077,228,0.5361,0.299,207,0.5382,0.3045,220,0.5482,0.3045,214,0.5261,0.3109,220,0.5562
er,500,499,1500022,0.2833,188,0.4569,0.2919,211,0.515,0.2961,222,0.5251,0.2938,211,0.511,0.295,216,0.5271,0.288,205,0.521,0.2938,211,0.5291
er,500,500,1500023,0.3038,200,0.454,0.3031,211,0.528,0.3068,227,0.526,0.3068,224,0.522,0.3061,221,0.524,0.3078,228,0.53,0.3096,221,0.53
er,500,500,1500024,0.2981,198,0.464,0.3034,222,0.502,0.3071,226,0.54,0.3026,216,0.516,0.3011,210,0.52,0.2986,211,0.474,0.3003,208,0.526
er,500,499,1500025,0.2899,198,0.4669,0.2877,192,0.523,0.2933,219,0.505,0.2928,202,0.507,0.2897,201,0.505,0.2922,202,0.511,0.2921,198,0.501
er,500,499,1500026,0.2995,207,0.477,0.3002,213,0.5251,0.304,224,0.5311,0.297,218,0.519,0.3002,212,0.519,0.3013,218,0.515,0.3047,213,0.5311
er,500,499,1500027,0.2896,187,0.4529,0.2871,198,0.505,0.2917,221,0.509,0.2891,205,0.509,0.2891,204,0.505,0.2888,205,0.505,0.2942,211,0.503
er,500,499,1500028,0.286,186,0.4529,0.2885,205,0.517,0.2966,220,0.501,0.2921,206,0.509,0.2914,206,0.503,0.2921,209,0.511,0.2875,200,0.509
er,500,497,1500029,0.2956,196,0.4728,0.2945,207,0.5292,0.2995,216,0.5171,0.2935,205,0.5352,0.2977,211,0.5252,0.294,205,0.5352,0.2984,216,0.5412
