topology,n,n_actual,seed,degree_auc,degree_stop,degree_fc,random_auc,random_stop,random_fc,CoreHD_auc,CoreHD_stop,CoreHD_fc,CoreHD-0.01n_auc,CoreHD-0.01n_stop,CoreHD-0.01n_fc,gnn-dyn-b25-ba_auc,gnn-dyn-b25-ba_stop,gnn-dyn-b25-ba_fc,gnn-dyn-b25-mixed_auc,gnn-dyn-b25-mixed_stop,gnn-dyn-b25-mixed_fc,rl-greedy-v4_auc,rl-greedy-v4_stop,rl-greedy-v4_fc,rl-greedy-mixed_auc,rl-greedy-mixed_stop,rl-greedy-mixed_fc
ba,500,500,500000,0.197,140,0.412,0.4523,396,0.958,0.1723,107,0.434,0.1693,107,0.3,0.1814,135,0.404,0.1909,152,0.366,0.1771,129,0.328,0.1848,143,0.346
ba,500,500,500001,0.2058,144,0.396,0.4507,398,0.914,0.1841,118,0.418,0.1794,115,0.294,0.1847,122,0.406,0.1857,123,0.408,0.182,118,0.346,0.1803,119,0.358
ba,500,500,500002,0.1968,143,0.39,0.4511,398,0.958,0.179,127,0.48,0.1741,117,0.298,0.1844,128,0.396,0.1916,148,0.378,0.1777,121,0.37,0.1856,139,0.386
ba,500,500,500003,0.2019,148,0.428,0.4536,384,0.974,0.1791,118,0.434,0.176,115,0.294,0.1826,130,0.372,0.1876,130,0.354,0.1819,127,0.336,0.1834,126,0.382
ba,500,500,500004,0.1798,132,0.378,0.4479,394,0.938,0.1609,108,0.392,0.1576,103,0.274,0.1684,118,0.378,0.1756,143,0.35,0.1666,120,0.306,0.1708,132,0.402
ba,500,500,500005,0.2007,138,0.414,0.4572,398,0.95,0.1852,116,0.448,0.1835,116,0.308,0.1901,145,0.406,0.1884,138,0.39,0.184,127,0.37,0.1883,135,0.37
ba,500,500,500006,0.2025,139,0.486,0.4633,391,0.964,0.1804,113,0.444,0.1781,113,0.304,0.1815,127,0.402,0.1852,129,0.41,0.1793,113,0.356,0.1811,114,0.41
ba,500,500,500007,0.2062,154,0.424,0.4581,393,0.974,0.1873,124,0.464,0.1817,119,0.302,0.1877,145,0.382,0.1892,145,0.376,0.184,127,0.366,0.1866,134,0.352
ba,500,500,500008,0.2045,143,0.422,0.4506,398,0.93,0.1921,128,0.44,0.1876,121,0.308,0.1963,129,0.374,0.1999,145,0.386,0.1922,132,0.34,0.1952,141,0.39
ba,500,500,500009,0.1934,135,0.4,0.4691,413,0.966,0.1799,133,0.464,0.1733,118,0.286,0.1804,136,0.37,0.1834,138,0.392,0.176,122,0.324,0.1799,124,0.372
ba,500,500,500010,0.2043,165,0.522,0.4492,386,0.938,0.1818,122,0.436,0.1799,122,0.296,0.1848,129,0.402,0.1862,133,0.4,0.1804,132,0.364,0.1829,131,0.39
ba,500,500,500011,0.2062,140,0.524,0.4601,394,0.97,0.1884,120,0.478,0.1822,116,0.302,0.1936,142,0.422,0.2015,144,0.406,0.1831,117,0.342,0.1903,131,0.402
ba,500,500,500012,0.2041,141,0.428,0.4542,384,0.87,0.1762,113,0.466,0.173,111,0.3,0.1819,118,0.402,0.1911,152,0.38,0.1812,115,0.346,0.1813,116,0.39
ba,500,500,500013,0.2002,143,0.416,0.4537,400,0.958,0.1872,118,0.5,0.184,116,0.308,0.1911,127,0.416,0.1907,128,0.394,0.1893,124,0.368,0.1903,126,0.388
