topology,n,n_actual,seed,CoreHD-0.01n_auc,CoreHD-0.01n_stop,CoreHD-0.01n_fc,gnn-dyn-b25-s101_auc,gnn-dyn-b25-s101_stop,gnn-dyn-b25-s101_fc,gnn-dyn-b25-s102_auc,gnn-dyn-b25-s102_stop,gnn-dyn-b25-s102_fc,gnn-dyn-b25-s103_auc,gnn-dyn-b25-s103_stop,gnn-dyn-b25-s103_fc,gnn-dyn-b25-s104_auc,gnn-dyn-b25-s104_stop,gnn-dyn-b25-s104_fc,gnn-dyn-b25-s105_auc,gnn-dyn-b25-s105_stop,gnn-dyn-b25-s105_fc,gnn-dyn-b25-dfs_auc,gnn-dyn-b25-dfs_stop,gnn-dyn-b25-dfs_fc,gnn-dyn-b25-degree_auc,gnn-dyn-b25-degree_stop,gnn-dyn-b25-degree_fc
ws,500,500,2500000,0.3235,206,0.532,0.3108,210,0.622,0.3207,220,0.594,0.3209,224,0.63,0.3246,222,0.608,0.3259,227,0.624,0.3117,226,0.574,0.3196,231,0.626
ws,500,500,2500001,0.3314,248,0.534,0.3177,220,0.596,0.3175,225,0.578,0.3226,245,0.592,0.3232,223,0.61,0.3257,221,0.622,0.3199,235,0.56,0.3235,231,0.57
ws,500,500,2500002,0.3313,226,0.522,0.3303,228,0.622,0.332,248,0.59,0.3272,225,0.602,0.3309,232,0.61,0.3308,237,0.57,0.3188,220,0.602,0.3244,226,0.602
ws,500,500,2500003,0.327,215,0.526,0.3326,226,0.614,0.3182,214,0.572,0.3303,237,0.602,0.328,239,0.6,0.3245,237,0.616,0.3236,231,0.586,0.33,232,0.57
ws,500,500,2500004,0.319,222,0.536,0.3373,230,0.602,0.3289,220,0.59,0.3329,232,0.602,0.336,243,0.62,0.3355,241,0.624,0.3224,214,0.588,0.3325,228,0.588
ws,500,500,2500005,0.3328,221,0.524,0.3354,226,0.584,0.3269,226,0.582,0.3289,229,0.586,0.3323,233,0.6,0.331,227,0.584,0.3294,239,0.568,0.3303,233,0.576
ws,500,500,2500006,0.3245,219,0.536,0.3437,236,0.556,0.3365,239,0.586,0.3435,249,0.602,0.3398,245,0.568,0.3433,245,0.62,0.3213,222,0.564,0.3418,248,0.602
ws,500,500,2500007,0.3209,215,0.526,0.3147,210,0.608,0.3226,229,0.606,0.3276,218,0.62,0.3199,209,0.604,0.3207,212,0.596,0.314,207,0.604,0.3305,238,0.616
ws,500,500,2500008,0.3286,222,0.528,0.3418,242,0.616,0.3389,229,0.606,0.3412,251,0.596,0.3381,234,0.612,0.345,254,0.6,0.3382,248,0.618,0.3364,237,0.57
ws,500,500,2500009,0.3275,218,0.522,0.3217,220,0.612,0.319,223,0.58,0.3248,220,0.594,0.3261,232,0.616,0.3261,220,0.59,0.3216,219,0.578,0.3175,216,0.62
ws,500,500,2500010,0.3197,211,0.528,0.327,227,0.59,0.3172,216,0.588,0.327,229,0.602,0.3226,225,0.624,0.3223,230,0.626,0.326,228,0.6,0.3262,235,0.596
ws,500,500,2500011,0.3334,235,0.532,0.324,222,0.552,0.33,228,0.59,0.327,232,0.57,0.3267,225,0.612,0.327,232,0.57,0.3311,235,0.586,0.3314,240,0.588
ws,500,500,2500012,0.3185,210,0.532,0.3277,225,0.61,0.3362,243,0.588,0.3271,212,0.632,0.3274,218,0.612,0.3258,216,0.598,0.3239,227,0.566,0.3255,230,0.6
ws,500,500,2500013,0.3066,203,0.528,0.3268,228,0.6,0.3229,232,0.586,0.3285,237,0.63,0.3242,229,0.62,0.3271,235,0.63,0.313,217,0.56,0.3286,229,0.604
ws,500,500,2500014,0.3352,226,0.536,0.331,229,0.6,0.3301,234,0.586,0.3351,236,0.602,0.3341,228,0.584,0.3322,228,0.62,0.3288,224,0.576,0.3311,242,0.602
ws,500,500,2500015,0.3301,230,0.528,0.3251,237,0.622,0.3225,230,0.6,0.3214,224,0.638,0.3233,229,0.618,0.3225,224,0.628,0.3213,223,0.584,0.3212,229,0.6
ws,500,500,2500016,0.3359,223,0.536,0.3292,219,0.596,0.3311,237,0.588,0.3258,222,0.592,0.3263,221,0.618,0.3319,222,0.598,0.3278,225,0.586,0.3377,238,0.614
ws,500,500,2500017,0.3297,224,0.526,0.3273,223,0.624,0.3217,221,0.592,0.3316,238,0.628,0.3298,227,0.61,0.3258,219,0.616,0.322,233,0.57,0.3286,241,0.626
ws,500,500,2500018,0.324,220,0.548,0.3368,239,0.62,0.3229,228,0.602,0.336,231,0.618,0.3333,234,0.614,0.3344,253,0.594,0.3228,220,0.578,0.3246,229,0.588
ws,500,500,2500019,0.3261,211,0.532,0.3193,215,0.618,0.3237,222,0.602,0.3255,220,0.626,0.3251,216,0.622,0.318,216,0.612,0.3204,234,0.606,0.3245,218,0.586
ws,500,500,2500020,0.3373,226,0.53,0.3376,249,0.62,0.3323,248,0.586,0.3321,249,0.592,0.3401,245,0.604,0.3339,248,0.596,0.3308,248,0.578,0.333,248,0.608
ws,500,500,2500021,0.3319,227,0.524,0.333,230,0.598,0.3358,241,0.586,0.3389,252,0.616,0.3356,228,0.614,0.336,226,0.608,0.3201,226,0.606,0.3366,241,0.598
ws,500,500,2500022,0.3214,221,0.532,0.3292,226,0.634,0.3308,250,0.594,0.3226,220,0.602,0.3155,210,0.63,0.3157,212,0.574,0.3175,212,0.608,0.3225,239,0.652
ws,500,500,2500023,0.3266,219,0.538,0.337,235,0.65,0.334,241,0.61,0.334,235,0.646,0.3408,239,0.636,0.3332,234,0.596,0.3308,235,0.588,0.3298,221,0.622
ws,500,500,2500024,0.329,221,0.518,0.3118,231,0.61,0.3197,219,0.584,0.3244,231,0.582,0.324,223,0.608,0.3241,224,0.62,0.3232,229,0.584,0.3206,239,0.59
ws,500,500,2500025,0.3323,226,0.534,0.3363,235,0.632,0.3228,220,0.564,0.3338,231,0.604,0.3322,232,0.626,0.3335,242,0.626,0.3259,225,0.588,0.3289,226,0.6
ws,500,500,2500026,0.3259,207,0.526,0.3346,227,0.596,0.3265,230,0.61,0.3355,231,0.602,0.3345,235,0.618,0.3323,234,0.6,0.3185,222,0.604,0.3297,233,0.598
ws,500,500,2500027,0.3214,213,0.534,0.323,220,0.64,0.318,222,0.602,0.3131,215,0.634,0.3135,209,0.614,0.3126,208,0.624,0.3148,217,0.598,0.329,247,0.622
ws,500,500,2500028,0.3065,200,0.514,0.3127,221,0.63,0.3129,226,0.582,0.3096,215,0.626,0.3132,211,0.63,0.3077,209,0.636,0.3107,217,0.558,0.3117,221,0.578
ws,500,500,2500029,0.3188,207,0.522,0.333,224,0.606,0.3305,230,0.594,0.3356,240,0.596,0.3327,218,0.616,0.3275,227,0.602,0.3256,219,0.566,0.3305,227,0.61
ba,500,500,500000,0.1693,107,0.3,0.19,147,0.322,0.1929,148,0.348,0.1918,152,0.332,0.1901,147,0.354,0.191,149,0.324,0.1856,144,0.358,0.1909,152,0.366
ba,500,500,500001,0.1794,115,0.294,0.1897,131,0.398,0.1909,134,0.402,0.1911,133,0.402,0.1889,130,0.39,0.1897,130,0.392,0.1825,122,0.406,0.1857,123,0.408
ba,500,500,500002,0.1741,117,0.298,0.1905,142,0.374,0.1949,159,0.374,0.1917,150,0.38,0.19,141,0.376,0.1921,151,0.376,0.1859,141,0.368,0.1916,148,0.378
ba,500,500,500003,0.176,115,0.294,0.1897,131,0.382,0.1925,138,0.372,0.1916,133,0.376,0.1893,131,0.372,0.1912,132,0.374,0.1833,125,0.396,0.1876,130,0.354
ba,500,500,500004,0.1576,103,0.274,0.1772,130,0.364,0.1805,137,0.362,0.1781,132,0.36,0.1773,140,0.358,0.1772,131,0.36,0.1719,131,0.362,0.1756,143,0.35
ba,500,500,500005,0.1835,116,0.308,0.1905,142,0.382,0.1935,144,0.384,0.1923,142,0.378,0.1916,149,0.382,0.1912,141,0.388,0.1872,142,0.378,0.1884,138,0.39
